Name,Quantity,Price
Apples,67,1.99
Bananas,56,0.99
Milk,89,4.99
Eggs,34,2.99
Bread,97,2.49
Cheese,53,3.99
Yogurt,49,1.99
Coffee,78,4.99
Tea,92,2.99
Sugar,63,1.99
Salt,36,0.99
Potatoes,72,0.99
Onions,47,0.49
Carrots,81,0.49
Tomatoes,32,0.49
Cucumbers,54,0.49
Bell peppers,62,0.49
Chicken breasts,99,4.99
Ground beef,28,3.99
Salmon fillet,55,5.99
Tofu,38,2.99
Lentils,76,1.99
Beans,45,1.99
Rice,90,1.99
Pasta,50,1.99
Oatmeal,64,1.99
Cereal,33,2.99
Frozen peas,50,1.99
Frozen broccoli,50,1.99
Canned tomatoes,46,1.29
Canned beans,64,1.29
Chicken broth,74,1.99
Beef broth,47,1.99
Pasta sauce,62,2.99
Garlic powder,41,1.99
Onion powder,51,1.99
Black pepper,91,1.99
Salt,17,0.99
Almonds,71,3.99
Cashews,19,3.99
Raisins,13,2.99
Chocolate chips,41,2.99
Pretzels,11,1.99
Potato chips,21,1.99
Soda,63,1.99
Water,83,1.99
Toilet paper,12,4.99
Paper towels,12,3.99
Laundry detergent,52,6.99
Dish soap,12,3.99
